epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,263.791,1.06347,2.01374,2.42852,1.34657,0,0.497,0.5723,0.50618,0.34058,0.52836,0.56299,0.5181,0.31341,1.05051,2.00819,2.20075,1.40303,0,0.000118824,0.000118824,0.000118824
2,528.694,0.97281,1.72479,1.57412,1.26826,0,0.75986,0.57281,0.63839,0.42062,0.75143,0.56741,0.6268,0.38908,1.14765,1.98153,1.88161,1.55224,0,0.000233115,0.000233115,0.000233115
3,793.682,0.95544,1.67557,1.42276,1.25171,0,0.71084,0.58942,0.64352,0.42218,0.71671,0.59872,0.64945,0.37848,1.11031,1.89714,1.62905,1.48871,0,0.000342693,0.000342693,0.000342693
4,1057.12,0.90205,1.59213,1.2271,1.21048,0,0.704,0.64915,0.6991,0.47386,0.71046,0.63017,0.68594,0.43047,1.09485,1.98917,1.40585,1.46787,0,0.000335794,0.000335794,0.000335794
5,1321.22,0.89496,1.56162,1.14141,1.20315,0,0.69034,0.68904,0.70881,0.4882,0.70161,0.68704,0.71732,0.4556,1.09303,1.88288,1.28932,1.48868,0,0.000328726,0.000328726,0.000328726
6,1585.98,0.86359,1.46525,1.03481,1.17445,0,0.747,0.69472,0.71949,0.49682,0.75014,0.69531,0.71943,0.45691,1.07818,1.97494,1.39412,1.46711,0,0.000321657,0.000321657,0.000321657
7,1850.39,0.85701,1.4661,1.02919,1.18069,0,0.8387,0.6663,0.7285,0.48967,0.82998,0.66148,0.71622,0.44744,1.10818,2.00307,1.25262,1.51868,0,0.000314588,0.000314588,0.000314588
8,2113.59,0.82396,1.42374,0.96106,1.16528,0,0.79951,0.68761,0.73179,0.5004,0.80152,0.68583,0.72195,0.45291,1.0758,2.12026,1.12141,1.51657,0,0.00030752,0.00030752,0.00030752
9,2377.22,0.81115,1.40958,0.91188,1.14218,0,0.8407,0.7235,0.76491,0.51793,0.83583,0.71923,0.7539,0.46992,1.06569,2.06724,1.22893,1.46812,0,0.000300451,0.000300451,0.000300451
10,2642.12,0.80682,1.3869,0.89432,1.15101,0,0.82243,0.7075,0.76931,0.51965,0.82006,0.69606,0.76016,0.48085,1.08415,2.03059,1.14405,1.52758,0,0.000293383,0.000293383,0.000293383
11,2906.25,0.79016,1.34701,0.85524,1.12555,0,0.77902,0.68388,0.7332,0.49527,0.78135,0.67622,0.724,0.45596,1.08186,2.02342,1.10066,1.4802,0,0.000286314,0.000286314,0.000286314
12,3169.55,0.77451,1.32602,0.81624,1.11966,0,0.73308,0.70829,0.73114,0.5064,0.75235,0.70472,0.74299,0.46604,1.03543,1.97147,1.09783,1.48229,0,0.000279245,0.000279245,0.000279245
13,3433.23,0.75698,1.29014,0.79207,1.10215,0,0.82493,0.69253,0.7498,0.51351,0.8177,0.68474,0.73658,0.47349,1.09333,2.07042,1.13514,1.51028,0,0.000272177,0.000272177,0.000272177
14,3696.23,0.74445,1.26108,0.76312,1.10026,0,0.86584,0.70585,0.7874,0.52818,0.8565,0.69295,0.76322,0.47776,1.10265,2.07702,1.09145,1.5057,0,0.000265108,0.000265108,0.000265108
15,3960.67,0.73464,1.26222,0.74378,1.08996,0,0.83301,0.74754,0.7902,0.53692,0.82653,0.74059,0.7728,0.48884,1.06532,2.20812,0.99215,1.53692,0,0.00025804,0.00025804,0.00025804
16,4225.2,0.71872,1.21417,0.72273,1.08375,0,0.80632,0.69267,0.74249,0.51813,0.82093,0.6868,0.73748,0.47178,1.06245,2.02517,1.04747,1.47134,0,0.000250971,0.000250971,0.000250971
17,4488.35,0.72887,1.24467,0.7262,1.08303,0,0.81661,0.70786,0.7623,0.51129,0.81044,0.69579,0.74865,0.48016,1.07986,1.95782,1.02099,1.50003,0,0.000243902,0.000243902,0.000243902
18,4751.59,0.71143,1.18573,0.69044,1.07083,0,0.81608,0.70177,0.76325,0.52484,0.8222,0.69879,0.74539,0.47481,1.05414,2.02442,1.06065,1.48161,0,0.000236834,0.000236834,0.000236834
