epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
19,5015.32,0.71252,1.18665,0.68657,1.07387,0,0.83002,0.72036,0.77705,0.53271,0.82831,0.71721,0.77299,0.48972,1.07315,2.05808,1.00961,1.51992,0,0.000229765,0.000229765,0.000229765
20,5278.8,0.7036,1.20286,0.67378,1.06343,0,0.84753,0.69848,0.76992,0.52991,0.83664,0.69062,0.7547,0.48067,1.06911,2.07352,1.03068,1.51345,0,0.000222697,0.000222697,0.000222697
21,5541.83,0.68452,1.13794,0.65156,1.05102,0,0.84487,0.74845,0.79383,0.54033,0.83438,0.73836,0.77495,0.4884,1.06427,2.13273,0.95338,1.52459,0,0.000215628,0.000215628,0.000215628
22,5806.69,0.68814,1.15031,0.63639,1.0572,0,0.8471,0.72733,0.80232,0.54362,0.83796,0.71284,0.78194,0.48614,1.07771,2.13784,0.96669,1.53591,0,0.000208559,0.000208559,0.000208559
23,6071.12,0.66941,1.11423,0.61896,1.04589,0,0.84722,0.73569,0.7899,0.54963,0.86318,0.71733,0.78042,0.49376,1.06039,2.1287,0.92644,1.52904,0,0.000201491,0.000201491,0.000201491
24,6335.13,0.67976,1.14323,0.63222,1.05486,0,0.89552,0.72288,0.80566,0.55833,0.8852,0.71138,0.78594,0.49668,1.05127,2.28911,0.94331,1.50415,0,0.000194422,0.000194422,0.000194422
25,6600.08,0.6633,1.11708,0.61038,1.03572,0,0.82101,0.71235,0.76893,0.53633,0.82069,0.71067,0.76426,0.48516,1.05926,2.13701,1.00144,1.47104,0,0.000187354,0.000187354,0.000187354
26,6864.29,0.66713,1.11829,0.60333,1.03508,0,0.80492,0.73875,0.78541,0.54051,0.79635,0.74121,0.77263,0.48989,1.07612,2.1634,0.97419,1.56584,0,0.000180285,0.000180285,0.000180285
27,7127.5,0.65394,1.10081,0.60482,1.03756,0,0.84347,0.73331,0.79131,0.54722,0.82626,0.7232,0.77251,0.49401,1.03069,2.15246,0.92001,1.49251,0,0.000173216,0.000173216,0.000173216
28,7391.05,0.64558,1.0953,0.58073,1.03091,0,0.8461,0.73392,0.77972,0.54441,0.85397,0.72607,0.76532,0.49319,1.04221,2.12255,0.94715,1.49192,0,0.000166148,0.000166148,0.000166148
29,7654.83,0.64464,1.08492,0.57494,1.02777,0,0.86829,0.71453,0.7882,0.54198,0.86569,0.6988,0.77259,0.49223,1.04364,2.17787,0.94071,1.48761,0,0.000159079,0.000159079,0.000159079
30,7917.79,0.63778,1.08037,0.56229,1.02622,0,0.84309,0.73716,0.82095,0.57068,0.84364,0.71138,0.8013,0.51021,1.05248,2.07116,0.85937,1.51008,0,0.000152011,0.000152011,0.000152011
31,8182.48,0.64432,1.06909,0.56282,1.02882,0,0.86334,0.73514,0.79488,0.55305,0.8714,0.72101,0.7807,0.50492,1.04925,2.14129,0.85412,1.52354,0,0.000144942,0.000144942,0.000144942
32,8446.48,0.63047,1.04368,0.5373,1.0142,0,0.87742,0.71466,0.80263,0.5544,0.89824,0.71208,0.79492,0.4993,1.05449,2.21958,0.89763,1.55499,0,0.000137873,0.000137873,0.000137873
33,8710.13,0.63177,1.06174,0.53883,1.01764,0,0.88253,0.6997,0.81279,0.5505,0.87222,0.69317,0.79366,0.49278,1.06923,2.21153,0.90018,1.56187,0,0.000130805,0.000130805,0.000130805
34,8973.43,0.62223,1.03788,0.53803,1.01591,0,0.83472,0.71435,0.7934,0.54817,0.83603,0.7146,0.78441,0.4953,1.06289,2.28352,0.89687,1.55104,0,0.000123736,0.000123736,0.000123736
35,9237.53,0.6077,1.01767,0.52603,1.00427,0,0.83127,0.71895,0.80415,0.56043,0.83611,0.70501,0.7866,0.50348,1.03133,2.2126,0.90591,1.52082,0,0.000116668,0.000116668,0.000116668
36,9501.43,0.6179,1.03725,0.52719,1.01295,0,0.83038,0.74412,0.80883,0.55331,0.82847,0.7353,0.79515,0.5049,1.04501,2.17095,0.87307,1.52414,0,0.000109599,0.000109599,0.000109599
37,9765.92,0.60406,1.0099,0.50673,0.99932,0,0.87795,0.73046,0.80132,0.55535,0.86602,0.72592,0.78948,0.50618,1.05546,2.24667,0.87535,1.54671,0,0.00010253,0.00010253,0.00010253
38,10030.4,0.60149,0.99538,0.49491,1.00122,0,0.83236,0.76005,0.81527,0.5653,0.8418,0.75162,0.80218,0.51094,1.04137,2.3089,0.84869,1.52977,0,9.54618e-05,9.54618e-05,9.54618e-05
39,10294,0.60263,1.00928,0.50209,0.99879,0,0.87982,0.72064,0.80552,0.55628,0.87949,0.72023,0.79948,0.51131,1.03644,2.20259,0.89413,1.5292,0,8.83932e-05,8.83932e-05,8.83932e-05
40,10557.4,0.5911,0.98704,0.48894,0.99455,0,0.87016,0.73426,0.80737,0.5645,0.8758,0.72454,0.79476,0.50711,1.00794,2.15523,0.88624,1.4811,0,8.13246e-05,8.13246e-05,8.13246e-05
41,10839,0.54622,0.85921,0.34833,0.963,0,0.8607,0.74279,0.80541,0.55328,0.85899,0.7385,0.79478,0.49687,1.03402,2.30589,0.87937,1.54052,0,7.4256e-05,7.4256e-05,7.4256e-05
42,11098.3,0.54657,0.85051,0.34378,0.9628,0,0.84376,0.73896,0.80412,0.56153,0.85849,0.73234,0.7966,0.50505,1.04591,2.34324,0.91071,1.55118,0,6.71874e-05,6.71874e-05,6.71874e-05
43,11357.8,0.53487,0.8345,0.32575,0.95298,0,0.88778,0.72112,0.81904,0.56752,0.88997,0.72663,0.81258,0.51235,1.04483,2.37901,0.88921,1.55208,0,6.01188e-05,6.01188e-05,6.01188e-05
44,11617.3,0.5283,0.83467,0.32833,0.95044,0,0.82925,0.75702,0.81153,0.56798,0.83015,0.75626,0.80728,0.5136,1.03569,2.41538,0.90141,1.53013,0,5.30502e-05,5.30502e-05,5.30502e-05
45,11877.9,0.51998,0.81161,0.31975,0.94748,0,0.86965,0.74426,0.82184,0.57429,0.88633,0.73153,0.81135,0.51936,1.03731,2.37517,0.85994,1.56917,0,4.59816e-05,4.59816e-05,4.59816e-05
46,12138.4,0.51181,0.80559,0.31357,0.94186,0,0.88129,0.72862,0.81359,0.56861,0.88284,0.72811,0.80255,0.50647,1.04117,2.42427,0.9032,1.57386,0,3.8913e-05,3.8913e-05,3.8913e-05
47,12398,0.50849,0.79802,0.30588,0.93657,0,0.88015,0.73693,0.81603,0.5694,0.87868,0.7333,0.80442,0.51467,1.04345,2.40459,0.86125,1.60281,0,3.18444e-05,3.18444e-05,3.18444e-05
48,12657.8,0.50085,0.78413,0.29647,0.9315,0,0.87329,0.73233,0.81486,0.57029,0.87525,0.72934,0.80014,0.50921,1.02857,2.43159,0.90077,1.56714,0,2.47758e-05,2.47758e-05,2.47758e-05
49,12917.8,0.4966,0.77927,0.29183,0.92423,0,0.87624,0.72846,0.81381,0.56983,0.87881,0.7264,0.79897,0.50806,1.03799,2.39003,0.91463,1.57077,0,1.77072e-05,1.77072e-05,1.77072e-05
50,13177.6,0.49686,0.77948,0.28913,0.92864,0,0.88341,0.73784,0.81516,0.57085,0.8889,0.73276,0.80038,0.51334,1.03694,2.40101,0.86557,1.58435,0,1.06386e-05,1.06386e-05,1.06386e-05
