epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,7502.2,0.69081,1.14529,0.61649,1.06764,0,0.70134,0.56319,0.62153,0.48428,0.72974,0.56366,0.62533,0.42958,0.91555,1.79564,1.14953,1.23055,0,0.000166148,0.000166148,0.000166148
29,7769.98,0.68253,1.1446,0.60593,1.05972,0,0.69128,0.56227,0.58772,0.45358,0.6981,0.5661,0.59155,0.41816,0.9559,1.76333,1.23609,1.27017,0,0.000159079,0.000159079,0.000159079
30,8037.97,0.67782,1.1267,0.58729,1.05816,0,0.716,0.59554,0.63873,0.49221,0.71227,0.59228,0.63433,0.44478,0.93274,1.79519,1.18956,1.26307,0,0.000152011,0.000152011,0.000152011
31,8307.08,0.66789,1.11655,0.58139,1.04966,0,0.60459,0.56597,0.60082,0.46143,0.61768,0.57026,0.60981,0.4215,0.96444,1.82788,1.34577,1.3124,0,0.000144942,0.000144942,0.000144942
32,8575.36,0.66072,1.08006,0.54916,1.04103,0,0.73818,0.60096,0.65286,0.50971,0.7395,0.59781,0.65289,0.45199,0.92371,1.81511,1.1014,1.25621,0,0.000137873,0.000137873,0.000137873
33,8844.83,0.66739,1.11006,0.55047,1.04643,0,0.67348,0.63542,0.65533,0.5137,0.67624,0.63414,0.65568,0.46521,0.90453,1.81182,1.13003,1.2369,0,0.000130805,0.000130805,0.000130805
34,9113.9,0.65605,1.11014,0.55535,1.04417,0,0.71783,0.5841,0.64214,0.50985,0.72445,0.58691,0.64135,0.44611,0.88798,1.88282,1.05408,1.23214,0,0.000123736,0.000123736,0.000123736
35,9382.33,0.64348,1.07018,0.54276,1.03479,0,0.6212,0.59383,0.63339,0.50203,0.64345,0.59762,0.6453,0.45504,0.90962,1.78501,1.12441,1.23959,0,0.000116668,0.000116668,0.000116668
36,9650.63,0.65452,1.08552,0.54651,1.04128,0,0.73385,0.60176,0.63927,0.5002,0.73864,0.6142,0.64392,0.44217,0.92273,1.85679,1.08531,1.24426,0,0.000109599,0.000109599,0.000109599
37,9918.97,0.6432,1.06836,0.5229,1.02847,0,0.7283,0.60657,0.64186,0.50165,0.76746,0.59052,0.64781,0.45502,0.91667,1.82986,1.11046,1.2533,0,0.00010253,0.00010253,0.00010253
38,10187.3,0.62976,1.04622,0.50878,1.02453,0,0.63382,0.62095,0.65408,0.51004,0.63777,0.61885,0.65282,0.44757,0.93218,1.92077,1.09701,1.25436,0,9.54618e-05,9.54618e-05,9.54618e-05
39,10456,0.63577,1.06172,0.5144,1.02352,0,0.7053,0.60877,0.64853,0.51278,0.71614,0.60885,0.64959,0.45076,0.89491,1.84192,1.06963,1.22689,0,8.83932e-05,8.83932e-05,8.83932e-05
40,10724.1,0.62342,1.03801,0.49599,1.01871,0,0.76215,0.62882,0.67411,0.53104,0.76165,0.63068,0.66868,0.47773,0.90395,1.82279,0.9816,1.233,0,8.13246e-05,8.13246e-05,8.13246e-05
41,11003.6,0.57901,0.90912,0.35455,0.99011,0,0.67201,0.59928,0.65719,0.51072,0.67636,0.59544,0.65369,0.45799,0.93986,1.88626,1.11295,1.26043,0,7.4256e-05,7.4256e-05,7.4256e-05
42,11262.3,0.5724,0.90138,0.34702,0.98451,0,0.71647,0.60171,0.64405,0.50475,0.71521,0.59984,0.63973,0.44629,0.93241,1.90313,1.07224,1.27438,0,6.71874e-05,6.71874e-05,6.71874e-05
43,11521.2,0.56436,0.89304,0.3369,0.97471,0,0.70344,0.60454,0.6289,0.49535,0.70007,0.6002,0.62505,0.4433,0.92978,1.89344,1.10501,1.27592,0,6.01188e-05,6.01188e-05,6.01188e-05
44,11780.3,0.56392,0.88728,0.33731,0.97776,0,0.69459,0.61069,0.64588,0.50449,0.694,0.60969,0.64387,0.44947,0.93183,1.91025,1.14405,1.25927,0,5.30502e-05,5.30502e-05,5.30502e-05
45,12039.3,0.54969,0.85778,0.31748,0.96617,0,0.71467,0.60646,0.63917,0.50249,0.70974,0.60028,0.63454,0.44517,0.9464,1.9147,1.19049,1.28165,0,4.59816e-05,4.59816e-05,4.59816e-05
46,12298.5,0.54462,0.85988,0.31466,0.96231,0,0.78034,0.55905,0.62392,0.49298,0.77583,0.55356,0.61775,0.43616,0.93892,1.90979,1.18722,1.28083,0,3.8913e-05,3.8913e-05,3.8913e-05
47,12557.7,0.53974,0.85657,0.31203,0.96296,0,0.59243,0.63698,0.64925,0.5114,0.58773,0.63066,0.643,0.45249,0.91008,1.84274,1.05839,1.24392,0,3.18444e-05,3.18444e-05,3.18444e-05
48,12816.7,0.5326,0.84314,0.30783,0.95813,0,0.67253,0.60877,0.62548,0.49646,0.66745,0.60227,0.62012,0.4353,0.90151,1.85804,1.13701,1.2411,0,2.47758e-05,2.47758e-05,2.47758e-05
49,13076,0.52825,0.83282,0.29512,0.95207,0,0.58942,0.62212,0.62909,0.49969,0.58467,0.611,0.62103,0.43916,0.91399,1.87612,1.11353,1.25036,0,1.77072e-05,1.77072e-05,1.77072e-05
50,13335,0.52877,0.83509,0.29085,0.952,0,0.59448,0.60798,0.62843,0.49909,0.58977,0.5972,0.62312,0.43924,0.91706,1.88798,1.13887,1.26026,0,1.06386e-05,1.06386e-05,1.06386e-05
