epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,279.622,1.04512,1.97172,2.26451,1.33618,0,0.4838,0.23508,0.19709,0.1247,0.48359,0.23503,0.19616,0.1163,1.22897,2.07984,3.14416,1.59448,0,0.000118824,0.000118824,0.000118824
2,547.779,0.93878,1.68612,1.44341,1.2339,0,0.29977,0.31844,0.2412,0.14237,0.30546,0.31532,0.24467,0.14092,1.32783,2.1608,2.76359,1.68916,0,0.000233115,0.000233115,0.000233115
3,816.045,0.93657,1.66182,1.28131,1.23363,0,0.42737,0.24319,0.23665,0.14635,0.41914,0.24629,0.23278,0.13742,1.36546,2.28414,2.71122,1.75553,0,0.000342693,0.000342693,0.000342693
4,1084.05,0.91229,1.58918,1.12584,1.21029,0,0.33586,0.343,0.2903,0.18991,0.33361,0.3408,0.28466,0.17329,1.28657,2.1918,2.444,1.67835,0,0.000335794,0.000335794,0.000335794
5,1351.82,0.87656,1.53805,1.03968,1.18898,0,0.45328,0.37217,0.37162,0.24727,0.46387,0.37014,0.37299,0.22356,1.26965,2.22602,2.09106,1.65148,0,0.000328726,0.000328726,0.000328726
6,1619.4,0.83609,1.4473,0.93832,1.15414,0,0.53374,0.32305,0.3192,0.19865,0.5412,0.31987,0.31952,0.19076,1.275,2.16208,2.14827,1.62736,0,0.000321657,0.000321657,0.000321657
7,1885.44,0.8224,1.4418,0.9068,1.15084,0,0.43371,0.34276,0.29137,0.18259,0.4344,0.32929,0.29127,0.1731,1.28399,2.09606,2.33934,1.64707,0,0.000314588,0.000314588,0.000314588
8,2149.23,0.81876,1.42227,0.87951,1.147,0,0.56215,0.41942,0.4329,0.28602,0.55958,0.41559,0.42754,0.25416,1.23312,2.05065,1.98747,1.59596,0,0.00030752,0.00030752,0.00030752
9,2411.65,0.79812,1.39644,0.83547,1.12697,0,0.50199,0.3911,0.3833,0.24831,0.50068,0.38111,0.37352,0.23089,1.26679,2.09061,2.19247,1.62975,0,0.000300451,0.000300451,0.000300451
10,2672.62,0.79139,1.36954,0.81171,1.12984,0,0.50028,0.38482,0.38982,0.26191,0.51329,0.38037,0.39523,0.24439,1.2866,2.13795,2.10596,1.66315,0,0.000293383,0.000293383,0.000293383
11,2933.37,0.78112,1.32763,0.77914,1.11289,0,0.51507,0.36529,0.36795,0.23867,0.51037,0.3802,0.37707,0.21845,1.2612,2.08628,1.96691,1.65452,0,0.000286314,0.000286314,0.000286314
12,3194.42,0.76589,1.30226,0.75472,1.1086,0,0.5579,0.38414,0.40285,0.24797,0.56699,0.39518,0.41914,0.23802,1.30443,2.07438,1.91592,1.68598,0,0.000279245,0.000279245,0.000279245
13,3455.26,0.73354,1.24533,0.71307,1.08334,0,0.61904,0.38038,0.42429,0.28318,0.6214,0.38712,0.42964,0.2536,1.26292,2.05617,1.91309,1.63524,0,0.000272177,0.000272177,0.000272177
