epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,264.97,1.09828,2.13866,2.53364,1.40622,0,0.48082,0.42879,0.37185,0.25461,0.47872,0.42224,0.36164,0.24239,1.01092,1.51514,2.16801,1.24421,0,0.000118824,0.000118824,0.000118824
2,530.485,1.00691,1.86022,1.63952,1.32268,0,0.52844,0.43767,0.44127,0.30315,0.52392,0.43572,0.43859,0.29147,1.06653,1.54716,2.08701,1.27286,0,0.000233115,0.000233115,0.000233115
3,794.975,0.98706,1.78667,1.46971,1.31037,0,0.57151,0.38102,0.44368,0.30403,0.56808,0.37844,0.43804,0.28988,1.06913,1.50261,2.18204,1.2698,0,0.000342693,0.000342693,0.000342693
4,1059.05,0.93926,1.70617,1.27108,1.27244,0,0.7159,0.52932,0.5325,0.38213,0.71452,0.52752,0.52975,0.35338,0.96267,1.46874,1.71271,1.21292,0,0.000335794,0.000335794,0.000335794
5,1324.71,0.92564,1.66748,1.18148,1.25585,0,0.61227,0.48641,0.57101,0.40814,0.61985,0.47647,0.56251,0.3772,0.97729,1.47268,1.59924,1.21716,0,0.000328726,0.000328726,0.000328726
6,1588.95,0.88997,1.6016,1.10658,1.22748,0,0.57002,0.48936,0.51128,0.35868,0.55767,0.4912,0.50498,0.33293,0.98645,1.44829,1.95521,1.22172,0,0.000321657,0.000321657,0.000321657
7,1853.08,0.89025,1.57753,1.07565,1.23854,0,0.7472,0.54442,0.61258,0.45696,0.74453,0.54005,0.60512,0.41979,0.97477,1.41103,1.44771,1.19688,0,0.000314588,0.000314588,0.000314588
8,2117.88,0.85762,1.52429,1.00409,1.21258,0,0.63223,0.61155,0.62085,0.44967,0.63072,0.616,0.62158,0.42768,0.96495,1.36001,1.47945,1.22083,0,0.00030752,0.00030752,0.00030752
9,2382.17,0.84136,1.48849,0.95635,1.19419,0,0.74629,0.54548,0.62826,0.46886,0.74452,0.5443,0.62525,0.43981,0.99242,1.39046,1.53994,1.20373,0,0.000300451,0.000300451,0.000300451
10,2647.1,0.82219,1.46152,0.91478,1.18921,0,0.77802,0.55787,0.64141,0.47128,0.76702,0.54925,0.63455,0.43907,0.9657,1.37809,1.46569,1.18081,0,0.000293383,0.000293383,0.000293383
11,2912.28,0.80971,1.45476,0.8894,1.17092,0,0.67151,0.61749,0.64742,0.48551,0.66695,0.61099,0.63739,0.45198,0.94964,1.37922,1.33074,1.16735,0,0.000286314,0.000286314,0.000286314
12,3176.65,0.79789,1.41017,0.85964,1.16442,0,0.61242,0.62307,0.6038,0.43752,0.61104,0.62567,0.60392,0.42545,0.97028,1.35838,1.31067,1.21325,0,0.000279245,0.000279245,0.000279245
13,3440.44,0.78636,1.38146,0.84728,1.15106,0,0.70979,0.57678,0.63509,0.46607,0.70848,0.57124,0.62733,0.43063,0.98851,1.44468,1.5781,1.22618,0,0.000272177,0.000272177,0.000272177
14,3704.66,0.76702,1.33931,0.80267,1.13995,0,0.81182,0.57467,0.66094,0.50826,0.80542,0.57313,0.65582,0.46661,0.90719,1.36035,1.31133,1.1551,0,0.000265108,0.000265108,0.000265108
15,3969.34,0.77086,1.35614,0.80155,1.14017,0,0.70136,0.5981,0.64134,0.48949,0.7466,0.57815,0.63732,0.45158,0.89963,1.36986,1.37398,1.16218,0,0.00025804,0.00025804,0.00025804
16,4232.75,0.74257,1.31438,0.75797,1.1279,0,0.74808,0.60728,0.67544,0.50638,0.73679,0.60476,0.67254,0.47022,0.93757,1.38382,1.38035,1.18636,0,0.000250971,0.000250971,0.000250971
17,4497.77,0.75147,1.32329,0.73933,1.12539,0,0.67754,0.61794,0.60677,0.45982,0.67844,0.6124,0.60092,0.42479,0.91631,1.39265,1.36036,1.17163,0,0.000243902,0.000243902,0.000243902
18,4761.79,0.72586,1.24849,0.70669,1.10723,0,0.59681,0.59127,0.62019,0.47203,0.59374,0.58917,0.61522,0.43132,0.88282,1.38679,1.3571,1.13435,0,0.000236834,0.000236834,0.000236834
19,5025.07,0.73303,1.27358,0.6995,1.11361,0,0.74236,0.57909,0.65134,0.48484,0.77204,0.55677,0.64621,0.45304,0.9264,1.36816,1.32087,1.15921,0,0.000229765,0.000229765,0.000229765
20,5289.78,0.72873,1.27895,0.70779,1.10193,0,0.768,0.61199,0.6717,0.50874,0.77207,0.61448,0.67361,0.47666,0.90695,1.35404,1.2655,1.15636,0,0.000222697,0.000222697,0.000222697
21,5555.22,0.70267,1.20205,0.66544,1.0914,0,0.71124,0.61431,0.66413,0.49193,0.73116,0.59497,0.66028,0.46633,0.91725,1.31763,1.15092,1.15074,0,0.000215628,0.000215628,0.000215628
22,5818.55,0.69932,1.21999,0.65679,1.08975,0,0.72786,0.62452,0.69447,0.52487,0.72344,0.62101,0.68878,0.49652,0.91954,1.32773,1.31087,1.15341,0,0.000208559,0.000208559,0.000208559
23,6083.49,0.68388,1.18733,0.64773,1.07853,0,0.75411,0.57909,0.6636,0.5006,0.76792,0.56942,0.66089,0.46178,0.91592,1.38074,1.28588,1.16053,0,0.000201491,0.000201491,0.000201491
24,6347.95,0.69714,1.2104,0.6604,1.09147,0,0.77182,0.60626,0.68593,0.52739,0.76798,0.60233,0.68507,0.48299,0.88366,1.34711,1.19597,1.14487,0,0.000194422,0.000194422,0.000194422
25,6611.5,0.67796,1.18499,0.62151,1.07237,0,0.77668,0.62984,0.66491,0.50642,0.77288,0.62692,0.65688,0.46627,0.91069,1.35168,1.26158,1.1586,0,0.000187354,0.000187354,0.000187354
26,6875.94,0.68077,1.20348,0.62839,1.07366,0,0.65149,0.59375,0.58771,0.44545,0.6476,0.58701,0.5822,0.41233,0.87596,1.32282,1.32985,1.13184,0,0.000180285,0.000180285,0.000180285
27,7140.01,0.66581,1.17197,0.60827,1.06816,0,0.7757,0.60026,0.69356,0.53333,0.76707,0.59491,0.685,0.48241,0.88755,1.32357,1.40359,1.14393,0,0.000173216,0.000173216,0.000173216
28,7403.7,0.65713,1.14719,0.5863,1.0605,0,0.7189,0.60756,0.65964,0.5011,0.7105,0.59907,0.64733,0.46067,0.90185,1.33095,1.3558,1.15134,0,0.000166148,0.000166148,0.000166148
29,7667.61,0.66406,1.15136,0.58854,1.0694,0,0.77504,0.63473,0.68845,0.51684,0.78015,0.62861,0.68312,0.47922,0.89869,1.34618,1.26095,1.1499,0,0.000159079,0.000159079,0.000159079
30,7931.99,0.64832,1.12926,0.57767,1.05606,0,0.56806,0.65924,0.61479,0.46778,0.565,0.65251,0.60733,0.43558,0.87874,1.34832,1.39379,1.13429,0,0.000152011,0.000152011,0.000152011
31,8195.67,0.64624,1.11435,0.55677,1.05149,0,0.71877,0.6193,0.64073,0.49032,0.70959,0.61765,0.63536,0.45724,0.90158,1.34553,1.35981,1.14579,0,0.000144942,0.000144942,0.000144942
32,8459.14,0.63264,1.09633,0.53608,1.03955,0,0.78941,0.62129,0.66204,0.51163,0.79743,0.61308,0.65701,0.47203,0.87831,1.30361,1.2523,1.13036,0,0.000137873,0.000137873,0.000137873
33,8723.74,0.6417,1.10945,0.53921,1.047,0,0.7909,0.6399,0.69623,0.54123,0.77719,0.64602,0.69411,0.50198,0.86395,1.34034,1.17123,1.13104,0,0.000130805,0.000130805,0.000130805
34,8988.43,0.63758,1.10086,0.54371,1.04757,0,0.81453,0.62087,0.69816,0.54558,0.81237,0.61829,0.6928,0.49741,0.85024,1.3823,1.16593,1.1194,0,0.000123736,0.000123736,0.000123736
35,9252.14,0.61841,1.07399,0.52603,1.0334,0,0.77732,0.61903,0.67039,0.52037,0.77366,0.61318,0.66231,0.48435,0.87887,1.32508,1.24335,1.13481,0,0.000116668,0.000116668,0.000116668
36,9516.69,0.6285,1.09408,0.54037,1.03859,0,0.76404,0.62553,0.66712,0.51167,0.76135,0.62303,0.66176,0.47011,0.87742,1.31662,1.29062,1.12523,0,0.000109599,0.000109599,0.000109599
37,9781.03,0.6133,1.04774,0.50929,1.02426,0,0.73886,0.6549,0.68577,0.52939,0.7358,0.65278,0.68435,0.48652,0.87757,1.3624,1.21812,1.12819,0,0.00010253,0.00010253,0.00010253
38,10043.9,0.60702,1.03834,0.49981,1.02658,0,0.66003,0.60166,0.63,0.48162,0.63699,0.62224,0.62781,0.44083,0.85605,1.28315,1.45446,1.1144,0,9.54618e-05,9.54618e-05,9.54618e-05
39,10307.9,0.61432,1.06104,0.50844,1.02554,0,0.75544,0.62321,0.66416,0.51845,0.7435,0.62862,0.66714,0.47545,0.85659,1.34162,1.26851,1.11822,0,8.83932e-05,8.83932e-05,8.83932e-05
40,10571.9,0.60166,1.03364,0.49103,1.01634,0,0.70661,0.64309,0.66755,0.51289,0.70532,0.64062,0.66418,0.47105,0.86674,1.31449,1.29677,1.13129,0,8.13246e-05,8.13246e-05,8.13246e-05
41,10851.4,0.54866,0.88411,0.33914,0.98218,0,0.76957,0.60846,0.65947,0.51184,0.73877,0.60769,0.6509,0.46523,0.86532,1.36827,1.40018,1.12832,0,7.4256e-05,7.4256e-05,7.4256e-05
42,11111.4,0.548,0.87332,0.33408,0.98626,0,0.72899,0.62508,0.67699,0.52448,0.72404,0.62224,0.67292,0.48099,0.86903,1.3392,1.37864,1.13971,0,6.71874e-05,6.71874e-05,6.71874e-05
43,11371.5,0.53671,0.86083,0.32799,0.98111,0,0.74978,0.61163,0.6728,0.52126,0.74748,0.6105,0.66905,0.48385,0.86635,1.36201,1.30546,1.14298,0,6.01188e-05,6.01188e-05,6.01188e-05
44,11631.5,0.52687,0.86054,0.31734,0.97248,0,0.75915,0.60263,0.6926,0.53959,0.75293,0.59608,0.68411,0.49465,0.86435,1.36154,1.26281,1.14069,0,5.30502e-05,5.30502e-05,5.30502e-05
